Commentaire,Sentiment
"""""[...] en direct non censur? [...]"" ""[...] vous pouvez jouer [...]"" eh bien arnaque ou pas , sabotage ou pas cela avait l'air bien partis lol . mais bon cela aurait fait une bonne dose de rigolade classique et digne d'internet .""",Positive
"""pourquoi il y a le coran 4:12 ??""",Neutral
"""d?j? quand tu vois sur la page d?accueil (tjrs en ligne ? l?heure actuelle) : ?nous contactez?? et que t?as au moins deux neurones qui se touchent tu quittes le site""",Neutral
"""pffff non 5 000 000 de pas de cerveau.... donc yavais 5 000 000 dabruti fini... c miche... comme reharde tpmpmpmptmpmtmoncul... represente les loosers de la feance...""",Neutral
"""ptdr la r?f des r?gles du jeu avec le coran. masterclass""",Neutral
"""la magalie, depuis le temps qu'elle est borderline et qu'elle collectionne les accusations d'escroquerie, va surement prendre chez dans les mois qui viennent.",Neutral
"finalement, j'avais un ? priori n?gatif sur booba, mais il remonte s?rieusement dans mon estime, depuis qu'il est en guerre ouverte contre magali berdah et tpmp.""",Neutral
"""fait gaffe le compte yassencore live a vol? ton contenus en int?gralit? et il commente la vid?o sans citer ta cha?ne et ton travail.""",Positive
"""??? sympa com""",Neutral
"""t?te ? claques""",Neutral
"""faut vraiment ?tre le d?rnier des cons ou pas savoir quoi faire de son bl? pour mettre 100? dans des conneries pareilles.??",Neutral
"quand a ces hyenes de castaldi et kev adams ils sont vraiment a g?rb?s mais c est pas non+ comme si c ?tait nouveau.""",Neutral
"""je viens de regarder l'annonce qui existe toujours donc potentiellement ils continuent ? essayer d'arnaquer les gens.""",Neutral
"""hello bravo pour ton travail je ces ? quel point c?est long franchement tu as tout notre respect courage et on fait un peu les m?mes choses mais on est pas ? ton niveau on fait et sur le terrain on peut pas aller aussi profond ?l humour et la meilleure des armes mais on va ces qui font du c*c* en spray il on pas d humour c plus taux simple de les jambons et les salami salutations ?""",Negative
"""la secte ?lue de retour !! l'arnaque ? l'israelienne a de beaux jours devant elle toujours couverte par le lobby des avocats, fiscalistes, banquiers""",Neutral
"""tu as tout ? fait raison il est grand temps que le m?nage soit fait et que tous ces escrocs cessent d??tre invit?s sur les plateaux tv. quand on voit que la berdah ?tait pas plus tard que ce week-end encore sur bfm y?a de quoi se poser bcp de questions sur la complicit?s des certaines cha?nes avec leurs magouilles?""",Positive
"""?a doit ?tre sympa d'?tre compl?tement con, de ne pas s'en apercevoir, de se laisser porter......""",Neutral
"""contenu digne ?""",Neutral
"""t'es fort?""",Neutral
"""je kiff jean pierre castaldi c'est un sacr? acteur, un monument du cin?ma fran?ais par contre son fils une belle ordure de premi?re ...""",Neutral
"""bwhahaha la ref du coran pour illustrer les r?gles ?""",Neutral
"""je t'adore e. continue de dezinguer ses creux vard?""",Neutral
"""benjamin est le plus beau et le plus fort il m?rite le respect du monde entier""",Neutral
"""oh non pas lui""",Neutral
"""berdah je comprends pas quel n'est pas encore en prison""",Neutral
"""1:57 min je crie deja the secret metaverse il ont repris le concept de gta rp""",Negative
"""?tes vous la m?me personne que g milgram? vous avez la m?me voix""",Neutral
"""c'est pas si simple de mettre en place cette arnaque, bravo""",Neutral
"""nft    les nouveaux  forcen?s  du travail !!!!  ou bien  les nuls forc?mnent tar?s....au choix....la deuxieme me parait plus logique...  non ?????""",Neutral
"""wouah... ta cit? que des intellectuels...la france est sauv?......ouf...ne serait t il pas judicieux de donner a cette fine equipe un minist?re a chacun...??? moi je dis   oui...""",Positive
"""qui serait pr?t ? donner 99 euro sans rien en retour ? mon ex a l?ch?e 1500 euro dans une arnaque mdrr y'a trop de gens na?fs.""",Neutral
"""bravo pour ton travail ?""",Neutral
"""les notif de radis sautent pour la troisi?me fois.... trois fois que je le signale ? youtube.... z?ro r?ponse silence total....",Neutral
je remet la cloche et je sugg?re au autres de la remettre aussi.,Neutral
"superbe vid?o et content de ton retour radis ???""",Neutral
"""hyper cool la vid?o sinon on sent vraiment l'inspiration de coffeezilla ahah""",Positive
"""je ferai bien 1 commentaire sur cette affaire, mais l? j'ai pas de mots ?l?gants qui me viennent.""",Neutral
"""1234??""",Neutral
"""le truc fou c'est que des projets aussi foireux en tout puisse avoir autant de rayonnement. c'est m?me pas que ce soit une escroquerie (enfin si totalement) c'est surtout que le machin il pu l'amateurisme et la flemme a tout les niveaux qui est dingue.""",Neutral
"""un vieux vous dit : ?a vous aide ? mieux vivre des emissions aussi d?biles ??? il n'y a rien ? retenir d'une vid?o pareille , allez prendre l'air  , ?a ira beaucoup mieux , respirez bien , bonne journ?e .""",Neutral
"""est ce que ca ne s apparente pas ? une escroquerie en bande organis?e ?",Neutral
"car en fait  c 'est un coquille vide , ii n y pas de projet ni la technologie derriere",Neutral
"sur la celebre plateforme il y des series sur ces types d arnaques""",Neutral
"""toujours les m?mes noms qui ressortent...""",Neutral
"""merci""",Neutral
"""bien travaill?,  pauvre castaldi,  et pauvre hanouna,  ah l'argent quand tu leur fais faire tout, et que leur avidit? les confond,   comme j'aime dans dix ans on vous verra dans le repenti, vous faites piti?,""",Neutral
"""je d?couvre la cha?ne ? l'instant et franchement un grand bravo pour le travail de qualit?. montage, ?criture, humour etc c'est vachement bien fait. quel talent!""",Positive
"""j'ai l'impression de regard? coffezila ? bonne video ??""",Neutral
"""castoualdi !!!""",Neutral
"""tr?s important ce que tu fais merci beaucoup""",Positive
"""interessant jusque l?, mais d'o? sort ce ""type"" qui serait un t?moin cl? ? (il le dit lui m?me: il n'est pas avocat).",Neutral
"tu nous as habitu? ? de meilleures sources. en l'occurence, avec le le lobby tpmp, autant s'en servir !""",Neutral
"""que faisais thekari78 sur lq video ? probablement ?lu le mec le plus debile du youtube fr et le plus incomp?tent pour ceux qui savent de quoi je parle.",Neutral
"a chaque fois que je vois ca gueule, jai l'impression qu il va nous dire que de source sur la terre va exploser dans 1 semaine ou une autre connerie.""",Neutral
"""tellement triste de voir ca: les influvoleurs...c tout ce qu'il on trouv? ? faite avec la notori?t?...super vid?o ?""",Neutral
"""excellente video?""",Neutral
"""hanhan hanhan i like it (2) !""",Neutral
"""a.. le pro vaccin..""",Neutral
"""attention ? la faute de fran?ais, on ne dit pas 16 candidats de t?l?r?alit? mais bien 16 cassos""",Neutral
"""nan la r?f a squeezie avec limage du coran jpp ?? ( 4:13 )""",Neutral
"""d'abord je voulais te dire que tes lunettes sont tr?s styl?es, oui je sais rien ? voir avec le sujet mais ?a m?ritait d'?tre signal? ?",Neutral
"ensuite je veux une partie deux ! je veux conna?tre la suite ! car je suis s?re qu'il y'a une suite ? tout ?a, tu n'es pas du genre ? l?cher le morceau.",Neutral
"bravo pour ce travail d'enqu?te qui a d? te prendre du temps.""",Neutral
"""t'es un bon""",Neutral
"""question : avec toutes les arnaques que tu d?voiles comment tu as pu te faire avoir ?""",Neutral
"""merci pour cette vid?o d?int?r?t publics !",Neutral
"il serait temps que tout ces influ-voleurs se prennent des ?normes amendes et aillent m?me en prison pour escroquerie !""",Neutral
"""tr?s tr?s fort""",Neutral
"""eric. k ?!""",Neutral
"""c'est chaud cette histoire, et surtout de pire en pire le moyen d'arnaquer les gens!!.",Neutral
"ils se proclame tous innocents, blanc comme neige!",Neutral
mais c'est tout autre.,Neutral
"j'esp?re que la plainte va aboutir. en vue des ?l?ments ainsie que les preuves ,il y a de grande chance pour qu'ils soient condamn?es ? une peine lourde et que ces gens ,comme la mb et son mari et fils n'aient plus le droit de tenir une soci?t?.",Neutral
d'ailleur je n'arrive toujours pas a comprendre que mb dirige encore alors qu'elle n'ait plus le droit.,Neutral
"son mariage ?tait pas un mariage d'amour mais plut?t un mariage pour pouvoir changer de nom et que son taboul? dirige les reines ? la place de mb! .fa?on de parler,car elle est toujours derri?re a diriger!.",Neutral
en gros faut ?tre malhonn?tes comme tout son palmar?s qu'elle a derri?re elle. et malgr? son interdiction de g?rer.  personne ne r?agit!.,Neutral
"en tout cas tr?s tr?s bon travail ?????. h?te de savoir la suite m?me si ont se doute bien que ?a risque de prendre du temps.""",Neutral
"""castaldi est un ?tron et tpmp est son ?crin ?""",Neutral
"""je trouves que le pire, c'est encore ces promos que les ""stars"" de t?l? r?alit? font... tu vois clairement qu'ils s'en foutent et qu'ils ne savent pas du tout de quoi ils parlent.""",Neutral
"""mais qu?est ce que c?est que ce monde?""",Neutral
"""des pigeons ,pigeonn?s""",Neutral
"""il se sont fait arnaquer des petites sommes ! c'est bien fait pour eux je n'y vois aucune arnaque ! seulement le juste retour de b?ton du fanatisme ? honteux de port? plainte uniquement parcequon est un con ?""",Neutral
"""en g?n?ral quand on parle de magali b, hanouna n'est jamais tr?s loin non plus...""",Neutral
"""?""",Neutral
"""incroyable castaldi est toujours dans ce genre d histoire.  c est vraiment un salopard.",Neutral
magali berda est aussi toujours dans des affaires louches et d ailleurs booba l a bien d?montr?.,Neutral
"dire que malgr? tout ?a ils seront m?me pas inquiet?""",Neutral
"""juste petite erreur de syntaxe",Neutral
"tpmp fait un million de teub?s spectateurs, pas t?l?spectateurs""",Neutral
"""c squeezie qui est derri?re tout ?a !""",Neutral
"""16:09 emmanuel macron""",Neutral
"""c?est chaud pour lui""",Neutral
"""soeur marie th?r?se des batignolles, quelles belles lectures de ""vous avez le droit""""",Neutral
"""pouah excellent le radis ???",Positive
tu es un monstre!! bravo,Neutral
"et ce c?t? humoristique , palala du lourd",Neutral
"force ? toi""",Neutral
"""il a fait la pub pour ""comme j'aime"" j'ai eu ces produits gratuitement par un gars qui n'en pouvait plus! je confirme : ?a marche ! ?a t'enl?ve l?envie de manger et la remplace par l'envie de mourir ! m?me gratuit j'en veut pas, beurk !""",Neutral
"""merci pour ton travail , maintenant il faut des mercenaire pour ex?cuter ces salopards .""",Neutral
"""19:02 ""ca dit cosm?tic.. heeeeee.. chope store...  stor'st1 ma'gaza""",Neutral
"c'est l? jme suis dit message subliminal jvais ""mabo-nez""""",Neutral
"""castaldi fils m'a d?pouiller de 1200?  l'avocat peut rien faire  ?""",Neutral
"""c'est ouf quand m?me que des escrocs puissent faire de la pub pour leurs arnaques oklm ? la t?l?... on vit qd m?me dans un sacr? monde d'enc*l?s!""",Neutral
"""milla jasmine like chatgpt""",Neutral
"""d?j? qu'il doit du fric ? tout paris mdr. d'ailleurs endemol a fait un test de secret story sur second life mais ?a a bide ?""",Negative
"""pourquoi ta flout? la meuf en or""",Neutral
"""""un n?n?ft?"" mais qu'elle gland l'autre m?me pas foutu de vendre sa merde correctement en plus ?""",Neutral
"""acheter des n'nft marseille lol""",Positive
"""le iadis rrradi?""",Neutral
"""casta ?a castaaaagne !!!""",Neutral
"""ayayay la v?rit? si je mens ?""",Neutral
"""bonjour, je tenais ? vous remercier et f?liciter pour vos vid?os  alertes ?? vous assurez grave! ?tiez-vous un avocat dans une autre vie ? top ?""",Positive
"""d'utilit? publique comme d'hab, merci et bravo pour le taf !""",Neutral
"""de tous les etrons a la tele, castaldi c'est vraiment top 3. un dechet humain, intellectuel et social. et ce tas de merde osait meme tromper sa meuf ......""",Positive
"""je d?couvre la cha?ne. waow je me suis r?gal?. excellent travail ? tous les niveaux (?criture, montage, recherche?)",Positive
"bravo ?""",Neutral
"""up ! au s?choir magalie !""",Neutral
"""""mais commeeeent, la v?rit???""""",Neutral
"""ho l'invit? surprise en fin de vid?o,je ne savais pas qu'on y avait le droit""",Neutral
"""banger akhy""",Neutral
"""4:13 fr?rot t?es fou de balancer un coran comme ?a au calme toi ?",Neutral
"le gadjo a juste ?crit oups mauvaise illustration genre trkl ?a passe""",Neutral
"""imaginez un monde ou tous ces mongoliens sont des persos publique :o""",Positive
"""le gars ach?te en sachant que c'est une arnaque...une v?ritable histoire d'un bouffon pigeonner par des fils de putes""",Neutral
"""elle est dans pleines d'embrouilles cte bonne femme. y'avait pas un d?lire avec hanouna aussi ? ou il a des billes dans l'entreprise ,ou j'ai loup? un truc?""",Neutral
"""quand l'arcom a t-elle ?t? saisie ? elle publie le compte rendu des saisines sur son site, quoi que c'est trouvable avec la date de l'?mission de castaldi""",Neutral
"""super vid?o comme d'habitude de l'investigation en passant par l'?criture, le montage etc.. par contre je ne comprendrais jamais comment autant de gens continuent ? investir dans les nft sachant que 90% sont des arnaques.""",Positive
"""la tv r?alit? virtuel ?a doit ?tre encore plus r?el.""",Neutral
"""le pire de la t?l?vision , beurk""",Neutral
"""j?adore le coin du crime ! merci pour les podcast le coin du crime ?. tu changes un peu ta voix mais on reconna?t quand m?me ;-)""",Positive
"""commentaire inutie""",Neutral
"""l'erreur de montage qui est une ref ? squeezie c'est du g?nie mdr""",Neutral
"""ils sont tous a gerber....pfff""",Neutral
"""entre le fait que tu te constitues victimes, la collab avec seb, et l'humour tout au long de la video, tu es au sommet de ton art radis""",Negative
"""hello je profite du sujet de  cette vid?o car j'ai une question, est-ce qu'une note vocale ainsi que des messages sont des preuves, je veux dire si une personne avoue ne jamais vous rendre l'argent que vous lui avez pr?ter, cela peut servir comme preuve ? car cette m?me personne me dit que ?a ne compte pas et qu'il faut son accord ;'( merci par avance :'(""",Negative
"""mdr la ref a squizie !!?""",Neutral
"""??????""",Neutral
"""c?est une catastrophe des gens comme sa il faudrait les enfermer""",Neutral
"""beau travail. la justice ! ? en france ! lol, mdr, ptdr (et oui, je suis vieux).""",Positive
"""magalie de retour !",Neutral
"a croire que c'est la moriarty de notre sherlock""",Neutral
"""vid?o antis?mite. je signale""",Neutral
"""comme d?habitude une super vid?o ? bravo ? toi pour tes enqu?tes toujours aussi bien mont?es""",Positive
"""franchement, les gens assez b?tes pour payer une images sur internet...c'est de la s?lection naturelle.""",Neutral
"""@vousavezledroit en invit? et @ggmilgram en clin d'?il. j'aime :d",Neutral
"et bon courage pour ta plainte.""",Neutral
"""#tpmp ?! ??""",Neutral
"""excellente vid?o !!""",Neutral
"""c'est quoi cette horreur que je crois voir ? 9:06""",Neutral
"""magali berdah c'est vraiment dark vador""",Negative
"""car tout simplement, on ne d?marre jamais (sur le net) par le client num?ro 01 ..... ils en ont bien vendu 45, un gros flop""",Neutral
"""j?en suis ? tout l??tang c?est d?j? une masterclass ????""",Neutral
"""magaloche encore elle sans dec !!""",Neutral
"""?a ne vous rappelle pas le projet film nft plush ?""",Neutral
"""les mecs qui regardent tpmp m?ritent enti?rement de se faire arnaquer""",Neutral
"""quand tu vois que tous les escrocs des r?seaux sont dans le truc, c'est suspect ?""",Neutral
"""super vid?o""",Positive
"""super boulot""",Positive
"""fallait vraiment ?tre neu-neu ! pas encore compris que t?l?-r?alit?, influenceurs et tpmp   c'est le sentier 2.0 ?""",Neutral
"""99 % de ce que font les fran?ais donc qu?est-ce que je raconte comme b?tise, 100 % du temps, les fran?ais sont des menteurs des escrocs. il y a des gens qui viennent se plaindre comme quoi ils sont fait arnaquer qui se ressemblent s?assemble comme on dit.""",Neutral
"""super la video !! et la pub est bien plac? ! bravo ! je te connaissais pas mais j'aime beaucoup ce que tu fais ! bonne continuation ( et bien sur je m'abonne et j'active la cloche )!!""",Positive
"""ta gueule,  ta gueule,  ferme ta gueule !""",Neutral
"""4m12 le coran cest pour quoi faire en faite???? tu peu l'enlever cest un manque de resper mec""",Positive
"""la r?f de squeezie avec le coran faut l?avoir""",Neutral
"""les marseillais en prison, je regarde sans h?siter""",Neutral
"""pourquoi tu as mis le quran en illustration pour parler de r?gles ?""",Neutral
"""merci pour le taf""",Neutral
"""salut, je suis d?veloppeur web et pour le num?ro de commande, ?a ne veux absolument pas dire que c?est la 4000?me commande. c?est simplement un id, num?ro pour identifier la commande.",Neutral
"et ce num?ro n?est pas forc?ment attribu? ? partir de 1""",Neutral
"""hahaha avec touts ces influvoleurs castaldi veut les repr?senter en fake vie maintenant !!.?""",Negative
"""c?est juste incroyable, l?image de la page de coran. c?est la sourate al shouara , et ont voit clairement ces trois versets",Neutral
"205. vois-tu si nous leur permettions de jouir, des ann?es durant,",Neutral
"206. et qu'ensuite leur arrive ce dont on les mena?ait,",Neutral
207.les jouissances qu'on leur a permises ne leur serviraient ? rien.,Neutral
"c?est incroyable je sais pas si tu l?as fait expr?s, mais cette page de coran est vraiment destin? ? ces gens l?""",Neutral
"""bravo ? toi""",Neutral
"""le premier drapeau rouge, d?s le d?but et aussi voyant qu'un ?l?phant dans une boutique de cristal : le ""meta"", c'est pas google, c'est facebook !... croyez-moi que si c'?tait r?el, une m?ga poursuite en justice contre google pour appropriation de branding serait en cours. je ne comprends pas pourquoi un grand m?dia fr, ayant tous les moyens du monde pour faire une petite v?rification de deux secondes, puisse cautionner une telle arnaque, non mais l'ue est devenue dingue (pas ?tonnant vu que ce n'est pas une d?mocratie, ces m?dias ?tant leur vitrine). c'est tr?s simple : en l'occurrence, tpmp est complice d'une arnaque.""",Positive
"""le castaldi a les poches perc?es , il d?pense plus que ce qu'il gagne et oblig? de faire de la pub sur ""comme j'aime "" ??""",Neutral
"""c est comme la t?l? de guy lux, ces de la merdasse sir heu!! vari?t? des ann?e 1970 a 2020""",Neutral
"""tous en cabane en colombie, comme le madoff de toulouse des panneaux solaire""",Neutral
"""la t?l? r?alit? au bordel le chabannais rue chabannais, comme avec le prince de gal d angleterre futur roi fin 19eme si?cle, (alias berni) pour ces dammes""",Neutral
"""ups des jetons (crypto)pour all? au bordel !!!""",Neutral
"""4:28 oh c lusty""",Neutral
"""merci pour cette vid?o excellent les passages surjouer sinon sur le nft ""bravo (ils ont eu un gain comme du) lotto"" et dommage ? ceux qui on perdu des ?""",Positive
"""metaverse de base est une immense arnaque ou meta (facebook) ? fonc? t?te baiss?, second life n'a jamais march?, et pourtant il avait fait le tour ! nft meta... un gag... aujourd'hui tout est tomb? ? l'eau, d'ailleurs facebook ? jet? l'?ponge. en meme temps vendre de l'air... ca reste du zef !""",Negative
"""comme quoi c?est ? d?influenceurs c?est le sommet de l?iceberg.. ? vomir bravo pour ton taff""",Neutral
"""pour info la commande 4190 cest un chiffre donn? au hasard par le site. c'est pas le nombre de commande.""",Neutral
"""toujours au top tes vid?os merci pour ton travail ????  et go faire une collab avec  b2o stp vous allez terminer tous ces escrocs""",Positive
"""lourd""",Neutral
"""vivement la suite""",Neutral
"""c'est une bonne carotte en groupe organis? ?a.. au pardon c'est une entreprise s?rieuse..""",Neutral
"""a quand les marseillais en prison ? ?""",Neutral
"""9:16  "" mais... c'est dark vador ! """,Negative
"https://youtu.be/ypdw_gdgvae?list=plg5aw-bnidw_8tu-u85q7qq6xt8kgctpp&t=95s""",Neutral
"""il d?nonce""",Neutral
"""quelle travail bravo je m?abonne ???""",Neutral
"""y c fait arnaquer mais il a tout bouffer au casino monsieur aussi y peu y aller chez anouna il a plus de tunes""",Neutral
"""castaldi comme j?aime ?????ta pas de honte""",Neutral
"""trop chouette le cam?o de ""vous avez le droit"", dommage qu'il n'y ai pas tricotine""",Neutral
"""ce mec est une h?morro?de""",Neutral
"""en 2023 les gens devraient ?tre moins con... finalement je ne vais pas le plaindre, cela pue l'arnaque ? mort.""",Neutral
"""il a toujours arnaquer les gens celui-l? alors c'est comme pour ces menus pour maigrir??? comme j'aime????""",Neutral
"""il y a un jeu similaire, qui existe depuis dix ans, avakin life. et avant ?a sur playstation3 avec playstation home ( qui a ferm? les serveurs) mais c'est nouveau, parole de castaldi ( comme j'aime)?""",Neutral
"""magali merdah a quand la prison?""",Neutral
"""mdr la pub bien plac? xd""",Neutral
"""facebook, l elite veulent absolument vendre leur merdaverse.""",Neutral
"""c?est quoi le but de mettre le coran comme ?a d?un coup je comprend pas ? et pas d?ailleurs la bible ou la torah ? j?aimer  bien",Neutral
"ta  page mais l? je comprend pas""",Neutral
"""casta, ?a castagne !""",Neutral
"""il est de retour ? ?""",Neutral
"""mais quelle cr?dibilit? donner a ce mec franchement""",Neutral
"""???""",Neutral
"""420k d'abonn?s et part en guerre contre c8.",Neutral
"le radis c'est un h?ro de shonen irl""",Neutral
"""le crossover avec @vousavezledroit c'est tellement bien ! encore une tr?s bonne vid?o de radis :)""",Positive
"""selection naturelle pour ce mec d'avoir ?t? l'un des animateurs les plus regard?s et d'?tre si endett? maintenant au point d'?tre devenu le bouc ?missaire r?gulier de hanouna sur de l'humiliation quotidienne""",Neutral
"""bonjour! je ne connaissais pas ta chaine, mais maintenant je suis heureux de la connaitre (et je m'abonne direct)... des grosses merdes comme magalie berdat et tous ces influvoleurs qui arnaquent les pauvres imbeciles-followers un peu debiles en toute impunit? depuis des ann?es il faut les condamner durement! ca suffit maintenant... ces gens la ne sont personne et pollue la tv et les r?seaux sociaux depuis des ann?es... et tout ces cr?tins qui les suivent font leur promo sans s'en rendre compte... pas de followers direction case depart pole emploi et tapin....""",Positive
"""magali berdah et sa clique: quelle usine ? m*rde.""",Neutral
"""en fait cette dame, c'est l'?quivalent du m?chant dans inspecteur gadget ? xd""",Neutral
"""il n'y a pas que le radis qui soit irradi?.""",Neutral
"""le nom aide pas mais bizarrement la vid?o est agr?able ? regarder m?me quand on est dans les nfts ,pas de d?nigrement contrairement ? sque j?entends en boucle merci""",Neutral
"""ces gens (je ne sais m?me pas comment les qualifier) tiennent si peu ? leur cr?dibilit? ? au bout d'un moment ?a finit par se voir mais en france on s'en fout, pourquoi avons-nous si peu de valeurs ? r?veillez-vous ? commencez d?j? par arr?ter de regarder la t?l? ?""",Neutral
"""oh bordel! alors toi tu as refais ma journ?e! que dis-je, ma semaine ! ton humour est tellement bon! merci pour ce bon moment... du coup,j'attends les autres ! ???""",Neutral
"""merci booba pour ton travail !""",Neutral
"""une belle grosse merde ce benji...""",Neutral
"""heureux de voir le travail de notre justicier d'internet pr?f?r? revenir sur la toile !""",Neutral
"""j'ai beaucoup aim? la vid?o mais je ne suis pas d'accord sur un point, le num?ro de commande.",Neutral
"ce n'est pas sens? repr?senter le nombre d'articles vendu, c'est sens? ?tre un num?ro de r?f?rence unique pour la commande en question.""",Positive
"""excellent travail""",Positive
"""et voil?, un bon moment de plus ? passer.""",Neutral
"""tout ce travail !! je suis ?pat?e et super mise en sc?ne j?adore le glow up""",Positive
"""le radis notre h?ros merci pour le boulot ?""",Neutral
"""il y du niveau journalistique bravo""",Neutral
"""bravo""",Neutral
"""eh oui, le showbiz vous aime bande de moutons......",Neutral
"politique/showbiz/medecins de plateau.... meme escroquerie.......""",Neutral
"""tu ressembles ? gabanno!!! o? pense que c'est toi !!! mdr""",Neutral
"""gros fils de humm humm""",Neutral
"""les marseillais en zonzon ?",Neutral
"je connaissais pas cette cha?ne allez hop abonn? ??""",Neutral
"""bon chance !""",Neutral
"""tu touche ? la mafia t?l?visuelle bro fait gaff ? tes arri?res poto... hanouna il a le bras long ...""",Negative
"""on a deja vu sch et ce gars au m?me endroit et au m?me moment ?""",Neutral
"""oh ouai ! oh ouais !! il est en vie ! optimus... euh... le radis est de retour !!!""",Neutral
"""les gens ne portent pas plainte parce qu'il n'y a plus de justice dans ce pays  !""",Neutral
"""les influenceurs sont vraiment les etres les plus influencables.""",Neutral
"""pourquoi il y a le livre saint dans ta vid?o ? on comprend pas explique nous pourquoi le coran et dans ta vid?o ???""",Neutral
"""l? ..?? ?????????????????????????""",Neutral
"""depuis le d?but les nft c'est de l'arnaque la preuve regardez tout ceux qui en font la pub que des parasites qui veulent nous vider les poches""",Neutral
"""@lusty at the start nice""",Positive
"""tu ma vraiment termin? avec ? avec ta r?f?rence ? taken ?""",Neutral
"""la ligue des champions, de l'arnaque ????""",Neutral
"""je pr?viens toute la communaut? ; ne vous f?chez jamais avec cet homme il est dangereux ???""",Neutral
"""en m?me temps les pigeons c'est fait pour ?tre plum?s non ?""",Neutral
"""?comme je sais pas c'est quoi nft, je vais sur google qui me dit que nft c'est  non fungig token  ???""",Neutral
"""qui?""",Neutral
"""t'es trop le goat mon petit radis""",Neutral
"""r?f?rencement""",Neutral
"""bravo""",Neutral
"""""comme j'aime"" ??""",Neutral
"""apelle booba il va s?en occuper ?""",Neutral
"""j'attend toujours avec grande impatience tes vid?os ! je rejoint un des commentaires que j'ai vu, tes vid?o devrais ?tre rendu d'inter?t publique. h?te d'en savoir plus sur cette histoire et ta plainte.""",Neutral
"""ils sont tous de la m?me r?""",Neutral
"""bonjour, pouvez vous passer au poste de police le plus proche pour porter plainte s'il vous plait ? merci d'avance.""",Neutral
"""en m?me temps les pelo qui ont cru ?a dans d?conne.. selection naturel.",Neutral
"ho tiens encore magalie merda ...""",Neutral
"""merci ? oussama amar de sponsoriser la vid?o avec ces pubs""",Neutral
"""mdrrrr la ref a taken exceptionnelle""",Neutral
"""d?sol?, je vais froisser certaines personnes, mais il faut dire les choses:",Neutral
1/ il faut ?tre compl?tement d?bile pour regarder tpmp.,Neutral
2/ il faut ?tre stupide pour acheter un nft d'influenceur.,Neutral
"3/ celui qui a confiance en ce jambon de castaldi, ne vaut pas mieux que lui ?",Neutral
"franchement cet abrutis de castaldi me fait penser au petit de la pub qui a mang? les chocosui's et essaie de convaincre sa m?re que c'est le poisson rouge qui a fait le coup... z?ro cr?dibilit?!""",Neutral
"""contente tes videos me manquait""",Neutral
"""milla qui crache sur magalie quald elle lui rapporte pu rien . ils me degoutent . comme dire je faus pas de contrefacon mais quand on lui parle d un placement de produit elle dit que c est magalie qui lui a donner ok mais elle l a fait quand mm""",Positive
"""un truc que tu aurais ou faire, et peut toujours faire pour r?cup?rer tes 99eur (tu as 6 mois depuis la date du paiement environ), c'est demander ? ta banque d'ouvrir une dispute avec le marchand. dans ton cas, fournir les preuves sera simple comme bonjour, et cette bo?te n'ayant meme pas de cgu n'aura absolument rien pour se d?fendre. la somme enti?re sera ensuite de retour sur ton compte, tandis que la bo?te qui monte l'arnaque perdra cette somme, ainsi qu'un frais pr?lev? par stripe, probablement de l'ordre de 25eur. si toutes les victimes font de m?me, les arnaqueurs seront arnaqu?s!""",Neutral
"""j'aime ta barbe radis. bravo pour la vid?o.""",Neutral
"""salut a tout les camarades de twitch! radis cette vid?o est une dinguerie, t'es le gars sur!""",Neutral
"""4:11 ?""",Neutral
"""les nft, comm?e fallait etre un ?norme pigeon pour acheter ses merdes x'd""",Neutral
"""ya vraiment des pigeons qui ach?tent des nft? m?me les bored ape on grave chut?, tour ca ce n'est que du vent, de l'arnaque les nft. vaut mieux acheter de la crypto, ou des actions d'entreprise du cac 40 ou dans le genre. rien qu'un lep a 10k euro rapports 600e a l'ann?e en interet environ !!! arr?ter de croire a tiutbet n'importe quoi. et encore olusndes nft de gens de tele r?alit? cinnu pour des escroqueries deja. s?rieux vous ?tes vraiment des gros pigeons.",Negative
"sinon j'ai 1 nft bored ape a vendre pour 26k euros, si ca int?resse quelqu'un, je peu le laisser a 22k dernier prix ??",Negative
?????????,Neutral
????,Neutral
?????????????????????,Neutral
"alors les moutons bien le bored ape, c'est celui qu'avait freeze""",Negative
"""oui oui tes con !!! un vrai pigeon mdrr donner donner de l'argent au riche ils en tant besoin bande de moutons""",Neutral
"""pourquoi flouter berdah""",Neutral
"""casta ?a castagne""",Neutral
"""j'aime ton travail,",Neutral
"par contre lui, benji, je lui fais pas confiance, et quelle vendeur de m***e ce mec, comme j'aime les gros ch?ques...............pas ceux de dubai.......... quoi que....metacouette a laver, elle pue la m*****...""",Neutral
"""le retour du messi , master classe",Neutral
"tu sais ce que devient maxestla ?""",Neutral
"""excellente vid?o, j'ai ador? le feat avec vous avez le droit !""",Neutral
"""le metaverse ca me fume, les mecs d?couvrent vraiment internet mdr""",Neutral
"""magnifique la pub de oussama ammar sur ta vid?o... on marche sur la t?te et dire que youtube laisse ces gens l? faire de la pub ???""",Neutral
"""notre coffeezilla national ??????""",Neutral
"""j habite au qu?bec il fait -20 et j ai ouvert mes fen?tres tellement que sa pue cette affaire.... salut""",Neutral
"""liker bien pour qu?il soit plus r?gulier ???""",Neutral
"""la meilleure vid?o de tout l'etang ?""",Neutral
"""4:11 pardon j'ai rigol?""",Neutral
